isolabel_ext,synonym
BR-AL-Flexeiras,br;al;flexeiras
BR-AL-Flexeiras,co-a-fxs
BR-AL-Flexeiras,br;alagoas;flexeiras
BR-AL-Flexeiras,br-2702801
BR-AL-Flexeiras,br;al;fxs
BR-AL-GirauPonciano,br-girauponciano
BR-AL-GirauPonciano,br;alagoas;girau.ponciano
BR-AL-GirauPonciano,br;al;girau.ponciano
BR-AL-GirauPonciano,br-al-gup
BR-AL-GirauPonciano,br-2702900
BR-AL-GirauPonciano,br;al;gup
BR-AL-GirauPonciano,co-a-gup
BR-AL-Ibateguara,br-ibateguara
BR-AL-Ibateguara,br;al;ibg
BR-AL-Ibateguara,co-a-ibg
BR-AL-Ibateguara,br;alagoas;ibateguara
BR-AL-Ibateguara,br-2703007
BR-AL-Ibateguara,br;al;ibateguara
BR-AL-Ibateguara,br-al-ibg
BR-AL-Igaci,br;al;icy
BR-AL-Igaci,br;al;igaci
BR-AL-Igaci,br-igaci
BR-AL-Igaci,br-al-icy
BR-AL-Igaci,br;alagoas;igaci
BR-AL-Igaci,co-a-icy
BR-AL-Igaci,br-2703106
BR-AL-IgrejaNova,br;alagoas;igreja.nova
BR-AL-IgrejaNova,br;al;igreja.nova
BR-AL-IgrejaNova,br;al;igj
BR-AL-IgrejaNova,br-al-igj
BR-AL-IgrejaNova,co-a-igj
BR-AL-IgrejaNova,br-igrejanova
BR-AL-IgrejaNova,br-2703205
BR-AL-Inhapi,br;alagoas;inhapi
BR-AL-Inhapi,br-inhapi
BR-AL-Inhapi,br-al-ihp
BR-AL-Inhapi,co-a-ihp
BR-AL-Inhapi,br;al;inhapi
BR-AL-Inhapi,br;al;ihp
BR-AL-Inhapi,br-2703304
BR-AL-JacareHomens,br;alagoas;jacare.homens
BR-AL-JacareHomens,br-jacarehomens
BR-AL-JacareHomens,co-a-jsh
BR-AL-JacareHomens,br;al;jsh
BR-AL-JacareHomens,br-al-jsh
BR-AL-JacareHomens,br;al;jacare.homens
BR-AL-JacareHomens,br-2703403
BR-AL-Jacuipe,br;al;jpe
BR-AL-Jacuipe,br-jacuipe
BR-AL-Jacuipe,br-2703502
BR-AL-Jacuipe,br;alagoas;jacuipe
BR-AL-Jacuipe,br;al;jacuipe
BR-AL-Jacuipe,br-al-jpe
BR-AL-Jacuipe,co-a-jpe
BR-AL-Japaratinga,br-japaratinga
BR-AL-Japaratinga,br-2703601
BR-AL-Japaratinga,br;al;japaratinga
BR-AL-Japaratinga,br-al-jpg
BR-AL-Japaratinga,co-a-jpg
BR-AL-Japaratinga,br;al;jpg
BR-AL-Japaratinga,br;alagoas;japaratinga
BR-AL-Jaramataia,br;al;jaa
BR-AL-Jaramataia,br-jaramataia
BR-AL-Jaramataia,co-a-jaa
BR-AL-Jaramataia,br-2703700
BR-AL-Jaramataia,br;al;jaramataia
BR-AL-Jaramataia,br-al-jaa
BR-AL-Jaramataia,br;alagoas;jaramataia
BR-AL-JequiaPraia,br-2703759
BR-AL-JequiaPraia,br-jequiapraia
BR-AL-JequiaPraia,br;al;jequia.praia
BR-AL-JequiaPraia,br;alagoas;jequia.praia
BR-AL-JoaquimGomes,br-joaquimgomes
BR-AL-JoaquimGomes,br;alagoas;joaquim.gomes
BR-AL-JoaquimGomes,br;al;joaquim.gomes
BR-AL-JoaquimGomes,br;al;jqg
BR-AL-JoaquimGomes,co-a-jqg
BR-AL-JoaquimGomes,br-2703809
BR-AL-JoaquimGomes,br-al-jqg
BR-AL-Jundia,br;al;jud
BR-AL-Jundia,br;alagoas;jundia
BR-AL-Jundia,co-a-jud
BR-AL-Jundia,br-al-jud
BR-AL-Jundia,br-2703908
BR-AL-Jundia,br;al;jundia
BR-AL-Junqueiro,co-a-jqo
BR-AL-Junqueiro,br;al;jqo
BR-AL-Junqueiro,br;alagoas;junqueiro
BR-AL-Junqueiro,br-al-jqo
BR-AL-Junqueiro,br-2704005
BR-AL-Junqueiro,br-junqueiro
BR-AL-Junqueiro,br;al;junqueiro
BR-AL-LagoaCanoa,br-lagoacanoa
BR-AL-LagoaCanoa,br;al;lagoa.canoa
BR-AL-LagoaCanoa,br;al;ldc
BR-AL-LagoaCanoa,br;alagoas;lagoa.canoa
BR-AL-LagoaCanoa,br-2704104
BR-AL-LagoaCanoa,br-al-ldc
BR-AL-LagoaCanoa,co-a-ldc
BR-AL-LimoeiroAnadia,br-al-lim
BR-AL-LimoeiroAnadia,br-2704203
BR-AL-LimoeiroAnadia,br-limoeiroanadia
BR-AL-LimoeiroAnadia,br;al;lim
BR-AL-LimoeiroAnadia,br;al;limoeiro.anadia
BR-AL-LimoeiroAnadia,br;alagoas;limoeiro.anadia
BR-AL-LimoeiroAnadia,co-a-lim
BR-AL-Maceio,br;alagoas;maceio
BR-AL-Maceio,br;al;maceio
BR-AL-Maceio,br-al-al
BR-AL-Maceio,br-2704302
BR-AL-Maceio,co-a-mco
BR-AL-Maceio,br-maceio
BR-AL-Maceio,br-al-mco
BR-AL-Maceio,co-a-maceio
BR-AL-Maceio,br;al;mco
BR-AL-MajorIsidoro,br-2704401
BR-AL-MajorIsidoro,co-a-mjr
BR-AL-MajorIsidoro,br;alagoas;major.isidoro
BR-AL-MajorIsidoro,br;al;mjr
BR-AL-MajorIsidoro,br-al-mjr
BR-AL-MajorIsidoro,br-majorisidoro
BR-AL-MajorIsidoro,br;al;major.isidoro
BR-AL-MarVermelho,br;al;mar.vermelho
BR-AL-MarVermelho,co-a-mvm
BR-AL-MarVermelho,br-2704906
BR-AL-MarVermelho,br;al;mvm
BR-AL-MarVermelho,br-marvermelho
BR-AL-MarVermelho,br;alagoas;mar.vermelho
BR-AL-MarVermelho,br-al-mvm
BR-AL-Maragogi,co-a-mgi
