isolabel_ext,status,cover,overlay
BR-AM-CareiroVarzea,0,140r 140v 141h 141m 141r 141v 142m 143h 144r,
BR-AM-Coari,0,10g 10q 4fg 4fq 5ag 5aq 5bq,
BR-AM-Codajas,0,10g 10q 11g 5aq 5bq,
BR-AM-Eirunepe,0,491m 494h 494m 494r 494v 495r 495v 496h 496m 496v 497h 497m 497r 497v 49dh 49dm 4c2h 4c2m 4c2r 4c2v 4c3h 4c3r 4c8h 4c8m 4c8r 4c8v 4c9h 4c9r,
BR-AM-Envira,0,46av 494h 494m 494v 495h 495m 495r 495v 497m 4c0h 4c0m 4c0r 4c0v 4c1r 4c2h 4c2m 4c3h,
BR-AM-FonteBoa,0,051v 052h 052m 052r 052v 053h 053m 053r 053v 054r 056h 056m 056r 056v 057h 057r 057v 058h 058m 059h 059m 059v 05ch 05cm 05cr 05dh 05dm,
BR-AM-Guajara,0,484r 484v 485r 485v 486h 486m 486v 487h 487m 487v 490m 490r 490v 492h 492m,
BR-AM-Humaita,0,53q 58g 58q 59g 59q,
BR-AM-Ipixuna,0,490m 490v 491h 491m 491r 491v 492m 492v 493h 493m 493r 493v 494h 494r 496h 496m 496r 496v 497r 499m 49ch 49cm 49dh,
BR-AM-Iranduba,0,115r 115v 117h 117m 140r 140v 142h,
BR-AM-Itacoatiara,0,141v 143m 143v 144m 144r 144v 145h 145m 145r 145v 146h 146m 146r 146v 147h 147m 14ch 5efr,
BR-AM-Itamarati,0,4cg 4cq 4dg 4dq,
BR-AM-Itapiranga,0,146r 146v 147m 147r 147v 149m 14ch 14cm 14cr 14cv 14dh 14dm 152r,
BR-AM-Japura,0,03g 04g 04q 05g 05q 06g,
BR-AM-Jurua,0,05g 4fq,
BR-AM-Jutai,0,04g 05g 49q 4cq 4eg 4eq 4fq,
BR-AM-Labrea,0,47g 47q 4dg 4dq 52g 52q 58g 58q,
BR-AM-Manacapuru,0,114h 114m 114r 114v 115h 115m 115r 115v 116h 116m 116r 116v 117h 140r 5ber 5bev 5bfr 5bfv,
BR-AM-Manaquiri,0,115m 115v 140h 140r 5bem 5bev 5bfh 5bfm 5bfr 5bfv 5ear,
BR-AM-Manaus,0,117h 117m 117r 117v 11dh 11dm 11dr 11dv 140r 140v 141r 141v 142h 142m 142r 142v 143h 143m 143r 144r 148h 148m 148r 148v,
BR-AM-Manicore,0,53q 59g 59q 5bg 5bq,
BR-AM-Maraa,0,057r 057v 05cm 05cr 05cv 05dh 05dm 05dr 05dv 05eh 05em 05er 05ev 05fh 05fm 10g 10q 5aq,
BR-AM-Maues,0,14g 15g 5cg 5cq 5dq 5eg 5eq 5fg 5fq,
BR-AM-Nhamunda,0,14q 15q 16g 16q 17g,
BR-AM-NovaOlindaNorte,0,144h 144m 145h 145m 5edr 5edv 5eem 5eer 5eev 5efh 5efm 5efr 5efv,
BR-AM-NovoAirao,0,10g 10q 11g 11q 13g 14q,
BR-AM-NovoAripuana,0,53q 56q 59g 59q 5bg 5cg 5cq 5eg 5eq,
BR-AM-Parintins,0,151v 153m 153r 153v 154r 156h 156r 156v 159h 159m 15ch 15cm 15cv,
BR-AM-Pauini,0,46q 47q 4cg 4dg,
BR-AM-PresidenteFigueiredo,0,11q 13g 14q 16g 16q,
BR-AM-RioPretoEva,0,142v 143h 143m 143r 143v 146r 148m 148v 149h 149m 149r 14ch,
BR-AM-SantaIsabelRioNegro,0,04q 05q 07g 07q 10q 12g 12q 18g,
BR-AM-SantoAntonioIca,0,040h 040m 040r 040v 041h 041m 041r 041v 042h 042m 042r 042v 043h 043m 044h 044m 044r 044v 045h 045m 045r 045v 046h 4eah 4eam 4ear 4eav 4ebr,
BR-AM-SaoGabrielCachoeira,0,03g 03q 04q 05q 06g 06q 07g 07q 09g 0cg 0dg,
BR-AM-SaoPauloOlivenca,0,04g 49q 4bg 4cq 4eg 4eq,
BR-AM-SaoSebastiaoUatuma,0,147v 14bm 14br 14bv 14ch 14cm 14cr 14cv 14dh 14dm 14dr 14dv 14eh 14em 14er 14ev 14fh 14fm 14fr 152r 158h 158r 161m 164h,
BR-AM-Silves,0,145r 146m 146r 146v 147h 147m 147r 147v,
BR-AM-Tabatinga,0,4e8h 4e8m 4e8r 4e8v 4eah 4eam,
BR-AM-Tapaua,0,4cq 4dg 4dq 4fg 58g 58q 59q 5ag 5aq 5bg 5bq,
BR-AM-Tefe,0,10g 4fg 4fq 5aq,
BR-AM-Tonantins,0,043m 044r 044v 045r 045v 046h 046m 047h 047m 047v 050r 052h 052m 052r 052v 058h,
BR-AM-Uarini,0,054m 054v 055h 055m 055r 055v 057h 057m 057v 05dm 100h 100r 100v 102h 102m 102r 4fcv 4fem 4fev 4ffh 4ffr 4ffv,
BR-AM-Urucara,0,14q 15g 15q 16g 16q,
BR-AM-Urucurituba,0,145v 147m 147v 150r 152h 152m 152r 152v 153r 158m 159h,
