dust_b16h,dust_city,dust_city_label,merge_score,receptor_b16h,receptor_city
d8f3N,4104600,BR-PR-CapitaoLeonidasMarques,598,d8f3N,4113452
d8f7K,4113452,BR-PR-Lindoeste,355,d8fM,4104808
d8fcK,4113452,BR-PR-Lindoeste,223,d8fcK,4124020
d90aJ,4210506,BR-SC-Maravilha,305,d90aJ,4204707
d90aP,4217303,BR-SC-Saudades,590,d90aP,4210902
d90aZ,4210902,BR-SC-Modelo,617,d90aZ,4202578
d90dZ,4209458,BR-SC-LajeadoGrande,202,d90dZ,4219705
d917J,4209854,BR-SC-LindoiaSul,641,d917J,4207700
d91eZ,4219101,BR-SC-Vargeao,199,d91V,4200101
d91fJ,4213401,BR-SC-PonteSerrada,396,d91V,4212270
d921Y,4207858,BR-SC-Irati,955,d921Y,4217758
d925Z,4215695,BR-SC-SantiagoSul,383,d925Z,4204459
d94bN,4219176,BR-SC-VargemBonita,371,d94bN,4213401
d954Y,4205555,BR-SC-FreiRogerio,309,d954Y,4211058
d95bN,4214409,BR-SC-RioAntas,330,d95R,4203006
d986K,4111209,BR-PR-ItapejaraOeste,649,d986K,4128609
d986S,4124806,BR-PR-SaoJoao,263,d986S,4128609
d98aK,4106571,BR-PR-CruzeiroIguacu,1000,d98aK,4103024
d9acT,4104055,BR-PR-CampoBonito,269,d9aV,4109302
da5fS,4110656,BR-PR-IracemaOeste,461,da5fS,4112751
dafdK,4120200,BR-PR-PortoRico,215,dafV,5007976
db08J,4103453,BR-PR-Cafelandia,200,db08J,4116703
db20Z,4115101,BR-PR-Mariluz,629,db20Z,4108601
db26N,4116109,BR-PR-MoreiraSales,220,db26N,4108601
db6cJ,4125001,BR-PR-SaoJoaoIvai,300,db6cJ,4103305
db7aJ,4122107,BR-PR-RioBom,516,db7aJ,4114906
db8aN,4107256,BR-PR-Douradina,380,db8aN,4126900
db98K,4122602,BR-PR-Rondon,506,db98K,4125555
dbc5N,4114906,BR-PR-MarilandiaSul,752,dbc5N,4103503
dbcbZ,4102109,BR-PR-Astorga,255,dbcbZ,4116307
dbd0T,4101507,BR-PR-Arapongas,331,dbdH,4101408
dbd5Z,4126009,BR-PR-SaoSebastiaoAmoreira,288,dbd5Z,4123204
