isolabel_ext,status,base_intlevel,cover,overlay
BR-AL-Piacabucu,1,75,75fcZ 75fdK 75fdS 75fdT 75fdY 75fdZ 75feN 75feP 75feY 75ffJ 75ffK 75ffN 75ffP 75ffS 75ffY 80aaK,
BR-AL-Pilar,1,75,820bZ 820eT 8221J 8221K 8221N 8221P 8221Y 8224J 8224K 8224N 8224P 8224S 8224T 8224Y 8224Z 8225J 8225K,
BR-AL-Pindoba,1,75,7777P 8222J 8222K 8222N 8222P 8222S 8222Y,
BR-AL-Piranhas,1,75,7734T 7734Z 7735S 7735T 7736J 7736K 7736N 7736P 7736S 7736T 7736Y 7736Z 7737J 7737K 7737S 7737T 773cN 773cP 773cY 773cZ 773dJ 773dK 773dS 773dT,
BR-AL-PocoTrincheiras,1,75,7768T 7768Y 7768Z 7769S 7769T 7769Y 7769Z 776aJ 776aN 776bJ 776bN 776bP 776cS 776cT 776eJ 776eK 776eN 776eP 776eS 776eY,
BR-AL-PortoCalvo,1,75,823bT 823bY 823bZ 823eN 823eP 823eS 823eT 823eY 823eZ 823fJ 823fK 823fT 8291J 8291N 8291P 8294J 8294K 8294N 8294P 8294S 8294T 8294Y 8295J,
BR-AL-PortoPedras,1,75,8239Z 823bN 823bP 823bY 823bZ 823cT 823cY 823cZ 823dT 823eJ 823eK 823eN 823eP 823eS 823eT 823eY 823fJ,
BR-AL-PortoRealColegio,1,75,7750P 7750S 7750T 7750Y 7750Z 7751J 7751K 7751S 7751T 7752N 7753J 7753K 7753N 7753P 7753S 7753T 7753Y 7753Z 7759J 7759N,
BR-AL-Quebrangulo,1,75,7777T 777cK 777cN 777cP 777cS 777cY 777cZ 777dJ 777dK 777dN 777dP 777dS 777dT 777dY 777dZ 777fJ 777fN 8228S 8228T 822aJ,
BR-AL-RioLargo,1,75,8224P 8224Y 8224Z 8225K 8225S 8225T 8225Y 8225Z 8226N 8226P 8226Y 8226Z 8227J 8227K 8227N 8227P 8227S 8227T 8227Y,
BR-AL-Roteiro,1,75,8209N 8209P 8209Y 8209Z 820cJ 820cK 820cN 820cP 820cS 820cT 820cY,
BR-AL-SantaLuziaNorte,1,75,8225J 8225K 8225N 8225P,
BR-AL-SantanaIpanema,1,75,7763Z 7766T 7766Z 7768Y 7769J 7769K 7769N 7769P 7769S 7769Y 776cJ 776cK 776cN 776cP 776cS 776cT 776cY 776cZ 776dK 776dS 776dT 776eJ 776eN 776fJ 776fK,
BR-AL-SantanaMundau,1,75,822aN 822aP 822aY 822aZ 822bJ 822bK 822bP 822bS 822bT 822bY 822bZ 8281J 8281K 8281N 8281P,
BR-AL-SaoBras,1,75,7747N 7747P 7747Y 7750T 7750Z 7752J 7752K 7752N 7752P 7752S 7752Y,
BR-AL-SaoJoseLaje,1,75,8281N 8281P 8281Y 8281Z 8284J 8284K 8284N 8284P 8284S 8284T 8284Y 8284Z 8286J 8286N,
BR-AL-SaoJoseTapera,1,75,7737P 7737S 7737T 7737Y 7737Z 773dJ 773dK 773dN 773dP 7760T 7760Y 7760Z 7761S 7761T 7762J 7762K 7762N 7762P 7762S 7762T 7762Y 7762Z 7763J 7763K 7763N 7763P 7763S 7768J,
BR-AL-SaoLuisQuitunde,1,75,8232T 8232Z 8233T 8233Z 8238J 8238K 8238N 8238P 8238S 8238T 8238Y 8238Z 8239J 8239K 8239N 8239P 8239S 8239T 823aJ 823aK 823aN 823aP 823aS 823aY 823bJ 823bK,
BR-AL-SaoMiguelCampos,1,75,8209P 8209S 8209T 8209Y 8209Z 820aN 820aP 820aY 820bJ 820bK 820bN 820bP 820bS 820bY 820bZ 820cT 820eJ 820eK 820eS 820eT,
BR-AL-SaoMiguelMilagres,1,75,8239Y 8239Z 823cK 823cP 823cS 823cT 823cY 823cZ,
BR-AL-SaoSebastiao,1,75,7753Y 7753Z 7756P 7756S 7756T 7756Y 7756Z 7757S 7757T 7759N 775cJ 775cK 775cN 775cP 775cS 775cT 775cY 775cZ 775dJ 775dK,
BR-AL-Satuba,1,75,8225J 8225K 8225P 8225S 8225Y 8225Z,
BR-AL-SenadorRuiPalmeira,1,75,773dK 773dN 773dP 773dY 773dZ 773fN 7762T 7762Z 7768J 7768K 7768N 7768P 7768S 7768T 7768Y 7768Z 7769J 7769K 7769N 7769S 776aJ,
BR-AL-TanqueArca,1,75,7775K 7775N 7775P 7775S 7775T 7775Y 7775Z 7777J 7777K 7777N,
BR-AL-Taquarana,1,75,775eZ 7774N 7774P 7774Y 7774Z 7775J 7775K 7775N 7775P 7775S 7776N,
BR-AL-TeotonioVilela,1,75,7756Y 7756Z 7757S 7757T 7757Y 7757Z 775cN 775dJ 775dK 775dN 775dP 775dS 775dY 8202S 8202T 8208J 8208K 8208S,
BR-AL-Traipu,1,50,774M 774V 775H 775R 776M 777H,
BR-AL-UniaoPalmares,1,75,822bJ 822bK 822bN 822bP 822bY 822bZ 822eJ 822eK 822eN 822eP 822eS 822eT 822eY 822eZ 822fK 822fS 822fT 8281N 8284J 8284N 8284P 8285J,
BR-AL-Vicosa,1,75,7777Y 7777Z 777dN 8222K 8222P 8222S 8222T 8222Y 8222Z 8223S 8223T 8228J 8228K 8228N 8228P 8228S 8228Y 8228Z 8229J 8229K 8229S 8229T 822bJ,
BR-AM-Alvaraes,1,50,055M 100H 100M 100R 100V 4fcV 4fdR 4feM 4ffH 4ffM 4ffR 4ffV 5aaH 5aaR,
BR-AM-Amatura,1,50,044H 044M 044R 044V 045H 045M 045R 4eeH 4eeM 4eeR 4eeV 4efH 4efR,
BR-AM-Anama,1,50,111H 111M 111R 111V 114H 114M 5bbV 5beR,
BR-AM-Anori,1,50,111M 114H 5adM 5adV 5b8H 5b8M 5b8R 5b8V 5b9R 5b9V 5baM 5bbH 5bbM 5bbV 5beH 5beR,
BR-AM-Apui,1,40,56a 56b 56e 56f 595 597 59d 5c0 5c1 5c2 5c3 5c4 5c5 5c6 5c7 5c8 5c9 5cb 5cc 5cd 5ce,
BR-AM-AtalaiaNorte,1,40,483 486 487 48c 48d 48e 48f 492 493 498 499 49a 49b 49c 49d 49e 49f 4a5 4a7 4b0 4b1 4b2 4b3 4b4 4b5 4b6 4b7 4b9 4bc 4bd,
BR-AM-Autazes,1,50,141H 141M 141V 144H 144M 144R 144V 5e8R 5e8V 5eaH 5eaM 5eaV 5ebH 5ebM 5ebR 5ebV 5eeR,
BR-AM-Barcelos,1,35,05Y 05Z 10K 10P 10S 10T 10Y 10Z 11S 11T 11Y 11Z 12J 12K 12N 12P 12S 12T 12Y 12Z 13J 13K 13S 13T 18J 18K 18N 18P 19J,
BR-AM-Barreirinha,1,50,151H 151M 151R 151V 152M 152V 153H 153M 153R 153V 154H 154R 156H 156R,
BR-AM-BenjaminConstant,1,50,499M 49cH 49cM 49cV 49dH 49dR 49dV 49fH 49fM 49fR 49fV 4b5H 4b5M 4b5R 4b5V 4b7M 4b7V 4bdM 4e2H 4e2R 4e2V 4e8H 4e8M,
BR-AM-Beruri,1,50,114H 5b1R 5b2M 5b2R 5b2V 5b3H 5b3M 5b3R 5b3V 5b6R 5b8H 5b8M 5b8V 5b9H 5b9M 5b9R 5b9V 5bbM 5bcH 5bcM 5bcR 5bcV 5bdR 5beH 5beM 5beR 5beV 5bfH,
BR-AM-BoaVistaRamos,1,50,145V 150M 150R 150V 151H 151R 152H 152M 152V 153H 153R,
BR-AM-BocaAcre,1,45,467Q 469Q 46bG 46cG 46cQ 46dG 46dQ 46eG 46eQ 46fG 46fQ 472Q 478G 478Q 479G 479Q 47aG 47aQ 47bG 4c4G 4c5G,
BR-AM-Borba,1,40,5b6 5b7 5bc 5bd 5bf 5c8 5c9 5ca 5cb 5ce 5e1 5e2 5e3 5e4 5e6 5e7 5e8 5e9 5ea 5eb 5ec 5ed 5ee 5ef,
BR-AM-Caapiranga,1,50,110M 110R 110V 111H 111M 111R 111V 112H 112M 112V 113H 113M 113R 113V 114H 114M 114R 114V 116H,
BR-AM-Canutama,1,45,529Q 52bG 52bQ 52cQ 52eG 52eQ 581G 581Q 583G 583Q 584G 584Q 585Q 586G 586Q 587G 587Q 588G 588Q 589G 589Q 58bG 58bQ 58cG 58cQ 58dG 58dQ 58eG 58eQ 5a1G,
BR-AM-Carauari,1,45,4ceQ 4cfQ 4daQ 4e4G 4e5G 4e5Q 4e7G 4e7Q 4edG 4f0G 4f0Q 4f1G 4f1Q 4f2G 4f2Q 4f3G 4f3Q 4f6Q 4f8G 4f9G 4f9Q 4fcG 4fcQ,
BR-AM-Careiro,1,50,115M 140H 140M 140R 140V 141H 141R 5bfH 5bfM 5bfV 5eaH 5eaM 5eaR 5eaV 5ebR,
BR-AM-CareiroVarzea,1,50,140R 140V 141H 141M 141R 141V 142M 143H 144R,
BR-AM-Coari,1,40,101 103 104 105 106 109 4f4 4f5 4f7 4fd 5a0 5a1 5a2 5a3 5a6 5a7 5a8 5a9 5aa 5ab 5ac 5ad 5ae 5af 5b8 5ba,
BR-AM-Codajas,1,45,103Q 104G 104Q 105G 105Q 106G 106Q 107G 107Q 109G 110G 110Q 111G 111Q 112G 5afQ 5baG 5baQ 5bbG 5bbQ,
BR-AM-Eirunepe,1,50,491M 494H 494M 494R 494V 495R 495V 496H 496M 496V 497H 497M 497R 497V 49dH 49dM 4c2H 4c2M 4c2R 4c2V 4c3H 4c3R 4c8H 4c8M 4c8R 4c8V 4c9H 4c9R,
BR-AM-Envira,1,50,46aV 494H 494M 494V 495H 495M 495R 495V 497M 4c0H 4c0M 4c0R 4c0V 4c1R 4c2H 4c2M 4c3H,
BR-AM-FonteBoa,1,50,051V 052H 052M 052R 052V 053H 053M 053R 053V 054R 056H 056M 056R 056V 057H 057R 057V 058H 058M 059H 059M 059V 05cH 05cM 05cR 05dH 05dM,
BR-AM-Guajara,1,50,484R 484V 485R 485V 486H 486M 486V 487H 487M 487V 490M 490R 490V 492H 492M,
BR-AM-Humaita,1,45,53aQ 53bG 53bQ 584Q 585Q 587G 587Q 58dG 58dQ 58fG 590G 590Q 591G 591Q 592G 592Q 593G 593Q 598G 598Q 599G 599Q 59aG 59bG 59bQ 59cQ 59eG,
BR-AM-Ipixuna,1,50,490M 490V 491H 491M 491R 491V 492M 492V 493H 493M 493R 493V 494H 494R 496H 496M 496R 496V 497R 499M 49cH 49cM 49dH,
BR-AM-Iranduba,1,50,115R 115V 117H 117M 140R 140V 142H,
BR-AM-Itacoatiara,1,50,141V 143M 143V 144M 144R 144V 145H 145M 145R 145V 146H 146M 146R 146V 147H 147M 14cH 5efR,
